wave[A] flux[Arbitrary]
368500 0.31156
369000 0.31120
369500 0.31083
370000 0.31047
370500 0.31010
371000 0.30974
371500 0.30938
372000 0.30901
372500 0.30865
373000 0.30828
373500 0.30792
374000 0.30755
374500 0.30719
375000 0.30682
375500 0.30646
376000 0.30609
376500 0.30573
377000 0.30536
377500 0.30500
378000 0.30465
378500 0.30430
379000 0.30395
379500 0.30360
380000 0.30325
380500 0.30290
381000 0.30254
381500 0.30219
382000 0.30184
382500 0.30149
383000 0.30114
383500 0.30079
384000 0.30044
384500 0.30009
385000 0.29973
385500 0.29938
386000 0.29903
386500 0.29868
387000 0.29833
387500 0.29798
388000 0.29763
388500 0.29728
389000 0.29692
389500 0.29657
390000 0.29622
390500 0.29587
391000 0.29552
391500 0.29517
392000 0.29482
392500 0.29447
393000 0.29412
393500 0.29376
394000 0.29341
394500 0.29306
395000 0.29271
395500 0.29237
396000 0.29203
396500 0.29169
397000 0.29135
397500 0.29101
398000 0.29068
398500 0.29034
399000 0.29000
399500 0.28966
400000 0.28932
400500 0.28899
401000 0.28865
401500 0.28831
402000 0.28797
402500 0.28763
403000 0.28730
403500 0.28696
404000 0.28662
404500 0.28628
405000 0.28594
405500 0.28561
406000 0.28527
406500 0.28493
407000 0.28459
407500 0.28425
408000 0.28392
408500 0.28358
409000 0.28324
409500 0.28290
410000 0.28256
410500 0.28223
411000 0.28189
411500 0.28155
412000 0.28121
412500 0.28087
413000 0.28054
413500 0.28020
414000 0.27986
414500 0.27954
415000 0.27921
415500 0.27889
416000 0.27856
416500 0.27824
417000 0.27791
417500 0.27759
418000 0.27726
418500 0.27694
419000 0.27661
419500 0.27629
420000 0.27596
420500 0.27564
421000 0.27531
421500 0.27499
422000 0.27466
422500 0.27434
423000 0.27401
423500 0.27369
424000 0.27336
424500 0.27304
425000 0.27271
425500 0.27239
426000 0.27206
426500 0.27174
427000 0.27141
427500 0.27109
428000 0.27076
428500 0.27044
429000 0.27011
429500 0.26979
430000 0.26946
430500 0.26914
431000 0.26881
431500 0.26849
432000 0.26816
432500 0.26784
433000 0.26751
433500 0.26719
434000 0.26688
434500 0.26656
435000 0.26625
435500 0.26594
436000 0.26563
436500 0.26531
437000 0.26500
437500 0.26469
438000 0.26438
438500 0.26406
439000 0.26375
439500 0.26344
